Designator,Footprint,Quantity,Value,LCSC Part #
J3,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Male,
J24,TestPoint_Pad_4.0x4.0mm2,1,Conn_01x01_Male,
JP2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,SolderJumper_2_Open,
J1,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Male,
R2.5k8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,R,
JP3,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,SolderJumper_2_Open,
R10k3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,R,
R10k2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,R,
J29_DI1,TestPoint_Pad_4.0x4.0mm2,1,Conn_01x01_Male,
R2.5k2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,R,
J5,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Male,
U1,ESP32-WROOM-32U,1,ESP32-WROOM-32U,
J8,PinHeader_1x09_P2.54mm_Horizontal,1,Conn_01x09_Male,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Male,
R2.5k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,R,
R2.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,R,
JP5,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,SolderJumper_2_Open,
Q2,SOT-23,1,BC817,
C3,CP_Elec_4x5.8,1,C_Polarized,
R2.5k4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,R,
J25,TestPoint_Pad_4.0x4.0mm2,1,Conn_01x01_Male,
J27_VCC1,TestPoint_Pad_4.0x4.0mm2,1,Conn_01x01_Male,
C4,CP_Elec_4x5.8,1,C_Polarized,
R2.5k6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,R,
R2.5k5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,R,
J13,TestPoint_Pad_4.0x4.0mm,1,Conn_01x01_Male,
J9,TestPoint_Pad_4.0x4.0mm,1,Conn_01x01_Male,
J10,TestPoint_Pad_4.0x4.0mm,1,Conn_01x01_Male,
R2.5k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,R,
J23,TestPoint_Pad_4.0x4.0mm2,1,Conn_01x01_Male,
J22,TestPoint_Pad_4.0x4.0mm2,1,Conn_01x01_Male,
J12,TestPoint_Pad_4.0x4.0mm,1,Conn_01x01_Male,
J28_RO1,TestPoint_Pad_4.0x4.0mm2,1,Conn_01x01_Male,
J6,JWT_A3963_1x02_P3.96mm_Vertical,1,Screw_Terminal_01x02,
Q1,SOT-23,1,BC817,
JP4,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,SolderJumper_2_Open,
J26,TestPoint_Pad_4.0x4.0mm2,1,Conn_01x01_Male,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,SolderJumper_2_Open,
C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,C,
J30_RE/DE1,TestPoint_Pad_4.0x4.0mm2,1,Conn_01x01_Male,
PS1,Converter_ACDC_HiLink_HLK-PMxx,1,HLK-PM03,
J4,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Male,
C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,C,
R10k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,R,
J31_GND1,TestPoint_Pad_4.0x4.0mm2,1,Conn_01x01_Male,
D1,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,1,LED,
D7,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,1,LED,
D4,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,1,LED,
D8,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,1,LED,
D6,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,1,LED,
D3,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,1,LED,
D5,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,1,LED,
J7,PinSocket_1x09_P2.54mm_Vertical,1,Conn_01x09_Male,
D2,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,1,LED,
