Designator,Mid X,Mid Y,Rotation,Layer
J3,10.295,-6.25,-90.0,top
J1,12.92,-6.25,-90.0,top
R2.5k8,-20.505,-9.115,90.0,top
R10k3,18.445,0.525,-90.0,top
R10k2,14.87,0.85,180.0,top
R2.5k2,-5.25,-9.095,90.0,top
J5,15.57,-6.25,0.0,top
U1,16.64,-21.81,0.0,top
J8,-20.505,-5.44,90.0,top
J2,12.62,-56.025,180.0,top
R2.5k7,-17.955,-9.14,90.0,top
R2.5k,-7.81,-9.095,90.0,top
Q2,15.495,-2.475,180.0,top
C3,6.0,-1.04,180.0,top
R2.5k4,-10.32,-9.09,90.0,top
C4,4.4,-6.01,180.0,top
R2.5k6,-15.405,-9.09,90.0,top
R2.5k5,-12.88,-9.09,90.0,top
R2.5k1,-2.72,-9.085,90.0,top
J6,-40.33,-48.85,-90.0,top
Q1,15.37,3.55,180.0,top
C1,4.065,-11.76,180.0,top
PS1,-29.8425,-23.2,0.0,top
J4,18.195,-6.25,0.0,top
C2,4.0525,-9.46,180.0,top
R10k1,8.72,-10.45,0.0,top
D1,2.78,12.76,90.0,bottom
D7,-14.94,12.73,90.0,bottom
D4,5.78,12.76,90.0,bottom
D8,-17.94,12.73,90.0,bottom
D6,-11.94,12.73,90.0,bottom
D3,-3.22,12.76,90.0,bottom
D5,-8.94,12.73,90.0,bottom
J7,-0.33,16.33099,90.0,bottom
D2,-0.22,12.76,90.0,bottom
